{8172;8161;8144;8114;8080;8062;8041;8036;8034;8028;8035;8031;8039;8064;8155;8196;8207;8206;8208;8238;8248;8251;8227;8215;8210;8210;8205;8186;8180;8189;8175;8169;8167;8164;8169;8178;8173;8170;8174;8171;8173;8167;8165;8161;8161;8164;8162;8160;8160;8164;8163;8161;8163;8165;8165;8171;8170;8178;8187}
{8151;8129;8091;8063;8056;8045;8035;8035;8034;8029;8031;8030;8034;8042;8104;8187;8207;8220;8240;8255;8255;8232;8220;8221;8212;8202;8187;8194;8182;8180;8187;8202;8210;8214;8211;8213;8211;8203;8193;8183;8173;8175;8168;8168;8168;8173;8168;8170;8166;8171;8170;8168;8174;8170;8168;8167;8167;8178;8182}
{8091;8070;8052;8037;8034;8033;8029;8027;8026;8024;8024;8020;8023;8030;8065;8166;8208;8239;8250;8237;8218;8213;8211;8210;8200;8191;8185;8184;8198;8207;8220;8232;8237;8240;8246;8244;8229;8213;8187;8175;8172;8179;8181;8176;8184;8189;8192;8199;8197;8190;8185;8191;8188;8174;8164;8166;8166;8166;8169}
{8060;8047;8042;8037;8032;8031;8027;8027;8020;8022;8023;8020;8024;8029;8052;8162;8218;8239;8233;8219;8215;8212;8209;8206;8197;8196;8199;8198;8209;8224;8231;8231;8229;8249;8251;8220;8199;8186;8175;8172;8183;8198;8188;8188;8206;8219;8225;8228;8218;8213;8229;8237;8221;8185;8175;8180;8179;8184;8173}
{8032;8028;8027;8028;8027;8024;8026;8025;8021;8022;8023;8019;8020;8021;8038;8127;8204;8217;8218;8215;8210;8209;8205;8202;8202;8197;8194;8203;8209;8212;8206;8204;8218;8236;8224;8181;8176;8177;8181;8177;8194;8206;8194;8199;8219;8227;8218;8210;8216;8232;8250;8255;8233;8189;8180;8184;8188;8187;8170}
{8027;8019;8020;8019;8018;8017;8020;8016;8017;8017;8013;8015;8016;8016;8026;8080;8174;8204;8210;8206;8205;8202;8200;8199;8192;8187;8189;8196;8212;8206;8201;8197;8234;8227;8193;8173;8172;8189;8180;8179;8196;8205;8194;8198;8203;8207;8204;8210;8223;8244;8248;8257;8244;8199;8187;8175;8178;8182;8171}
{8014;8013;8012;8008;8012;8013;8015;8016;8017;8014;8011;8011;8013;8016;8020;8039;8147;8196;8205;8206;8196;8199;8190;8196;8194;8196;8198;8223;8237;8214;8195;8207;8211;8190;8183;8167;8172;8184;8176;8170;8189;8199;8184;8197;8204;8203;8206;8220;8229;8238;8243;8250;8234;8210;8176;8173;8176;8179;8168}
{8009;8010;8010;8009;8012;8012;8014;8015;8017;8014;8014;8015;8012;8009;8010;8022;8102;8189;8201;8202;8201;8191;8205;8197;8219;8207;8223;8233;8228;8213;8203;8206;8194;8177;8178;8165;8170;8183;8175;8169;8188;8193;8185;8184;8184;8193;8208;8215;8217;8228;8240;8239;8231;8206;8178;8167;8179;8177;8169}
{8009;8012;8011;8013;8011;8013;8017;8021;8019;8017;8017;8020;8015;8012;8009;8014;8054;8161;8200;8197;8194;8188;8210;8208;8236;8215;8226;8230;8217;8214;8202;8195;8188;8166;8168;8168;8169;8179;8179;8167;8182;8188;8178;8167;8177;8200;8208;8207;8198;8219;8220;8221;8214;8199;8169;8175;8182;8180;8157}
{8005;8007;8008;8009;8008;8014;8016;8016;8018;8018;8019;8020;8015;8009;8007;8009;8031;8111;8178;8183;8190;8212;8198;8221;8231;8214;8219;8216;8209;8200;8208;8192;8181;8163;8160;8162;8170;8175;8182;8182;8177;8185;8172;8164;8173;8196;8206;8188;8188;8203;8198;8191;8195;8182;8170;8177;8180;8165;8161}
{8010;8012;8011;8010;8011;8014;8019;8017;8018;8020;8019;8018;8020;8012;8010;8010;8013;8048;8152;8182;8191;8204;8195;8224;8229;8205;8208;8201;8190;8189;8191;8203;8174;8162;8161;8161;8158;8166;8174;8188;8180;8178;8173;8163;8172;8189;8199;8182;8181;8191;8186;8189;8182;8170;8167;8177;8171;8158;8153}
